階層番号,単語,上位カテゴリ
1,ソファ,
1,収納家具,
1,キッチン収納,
1,こたつ,
1,ダイニングセット,
1,テーブル・机,
1,AV・テレビボード,
1,ベッド【フレームのみ】,
1,マットレス,
1,座椅子・チェア,
1,ドレッサー,
1,その他商品,
1,アウトレット,
2,カウチソファ,ソファ
2,1人掛けソファ,ソファ
2,2人掛けソファ,ソファ
2,3人掛けソファ,ソファ
2,コーナーソファ,ソファ
2,ソファベッド,ソファ
2,フロアソファ,ソファ
2,スツール,ソファ
2,ソファセット,ソファ
2,モーションソファ,ソファ
2,パッチワークシリーズ,ソファ
2,チェスト,収納家具
2,ワードローブ,収納家具
2,コレクションボード,収納家具
2,ラック シェルフ,収納家具
2,サイドボード キャビネット,収納家具
2,本棚,収納家具
2,電話台 FAX台,収納家具
2,下駄箱 シューズボックス,収納家具
2,クリープシリーズ,収納家具
2,山水シリーズ,収納家具
2,山月シリーズ,収納家具
2,グラナダシリーズ,収納家具
2,シェルシリーズ,収納家具
2,ランドリー収納,収納家具
2,民芸箪笥,収納家具
2,食器棚,キッチン収納
2,キッチンカウンター レンジ台,キッチン収納
2,ダストボックス,キッチン収納
2,すき間収納,キッチン収納
2,クリスタルシリーズ,キッチン収納
2,スペースシリーズ,キッチン収納
2,パラソルシリーズ,キッチン収納
2,バーカウンター,キッチン収納
2,鎌倉シリーズ,キッチン収納
2,ハイタイプ,こたつ
2,ロータイプ,こたつ
2,2人用（3人用）,ダイニングセット
2,4人用,ダイニングセット
2,6人用〜,ダイニングセット
2,ダイニングテーブル単品,ダイニングセット
2,ダイニングチェア/ベンチ単品,ダイニングセット
2,リビングテーブル,テーブル・机
2,座卓,テーブル・机
2,デスク,テーブル・机
2,ナイトテーブル,テーブル・机
2,〜100cm,AV・テレビボード
2,101cm〜150cm,AV・テレビボード
2,151cm〜180cm,AV・テレビボード
2,181cm〜,AV・テレビボード
2,コーナーテレビボード,AV・テレビボード
2,ハイタイプ,AV・テレビボード
2,パワーシリーズ,AV・テレビボード
2,シングルベッド,ベッド【フレームのみ】
2,セミダブルベッド,ベッド【フレームのみ】
2,ダブルベッド,ベッド【フレームのみ】
2,ワイドダブルベッド,ベッド【フレームのみ】
2,クイーンベッド,ベッド【フレームのみ】
2,子供用２・３段ベッド,ベッド【フレームのみ】
2,子供用システム・ロフトベッド,ベッド【フレームのみ】
2,ボンネルコイル,マットレス
2,ポケットコイル,マットレス
2,2・3段ベッド用,マットレス
2,オフィスチェア,座椅子・チェア
2,チェア,座椅子・チェア
2,パーソナルチェア,座椅子・チェア
2,バーチェア,座椅子・チェア
2,スタッキングチェア,座椅子・チェア
3,レザー,カウチソファ
3,ファブリック,カウチソファ
3,レザー,1人掛けソファ
3,ファブリック,1人掛けソファ
3,レザー,2人掛けソファ
3,ファブリック,2人掛けソファ
3,レザー,3人掛けソファ
3,ファブリック,3人掛けソファ
3,レザー,コーナーソファ
3,ファブリック,コーナーソファ
3,レザー,ソファベッド
3,ファブリック,ソファベッド
3,レザー,フロアソファ
3,ファブリック,フロアソファ
3,レザー,スツール
3,ファブリック,スツール
3,レザー,モーションソファ
3,ファブリック,モーションソファ
3,ハイチェスト,チェスト
3,ローチェスト,チェスト
3,ミニチェスト,チェスト
3,タワーチェスト,チェスト
3,〜80cm,チェスト
3,81cm〜100cm,チェスト
3,101cm〜120cm,チェスト
3,121cm〜,チェスト
3,桐箪笥,チェスト
3,こども用,チェスト
3,押入れ収納,チェスト
3,筑後民芸,民芸箪笥
3,三丸民芸,民芸箪笥
3,その他民芸,民芸箪笥
3,〜80cm,食器棚
3,81cm〜100cm,食器棚
3,101cm〜120cm,食器棚
3,121cm〜140cm,食器棚
3,141cm〜,食器棚
3,1人用,ハイタイプ
3,2人用,ハイタイプ
3,4人用,ハイタイプ
3,6人用,ハイタイプ
3,シングル,ボンネルコイル
3,セミダブル,ボンネルコイル
3,ダブル,ボンネルコイル
3,ワイドダブル,ボンネルコイル
3,クイーン,ボンネルコイル
3,シングル,ポケットコイル
3,セミダブル,ポケットコイル
3,ダブル,ポケットコイル
3,ワイドダブル,ポケットコイル
3,クイーン,ポケットコイル
