名称,説明
FEATHER（フェザー）とは,軽くてふんわりとした天然素材、ふんわりと沈み込むような優しい弾力が特徴です。つぶれても形を整えながら軽く叩いて空気を入れてあげることで元の形に戻る復元力の高い素材です。湿気を逃がす力にも優れています。
moiss（モイス）とは,MOISSとは耐火性があり、調湿、抗カビ、消臭、有害物質吸着分解などの特徴を備えた非常に優れた建築用素材です。
Hettch社とは,Hettch（ヘティヒ）社とは、ドイツに本社を置く、高級家具・インテリア用金物などを製造販売するメーカーです。
LATEXとは,"LATEXは通常のウレタンと比べ、高反発・体圧分散・自然抗菌・通気性・耐久性に優れた素材です。また、天然LATEXは、ハウスダスト、ダニ、バクテリア等の細菌類、害虫が棲息できない条件を作ります。<br><br><b><font color=""#ff0000"">※原料がゴムですので、ゴムアレルギーをお持ちの方はご使用をお控えください。</font></b>"
OKIN社とは,ヨーロッパにおけるソファ、ベッド用モーターの供給ではトップシェアブランドのOKIN社。最も厳しいと言われるドイツの安全品質基準をクリアした信頼と実績のある品質です。安全設計で静音・耐久性に優れています。
Sバネとは,中材のウレタン等の下に張るソファーの衝撃吸収材。S型をした鋼鉄バネをつないだスプリング。S字に波打ったバネの弾力で支えます。１本１本のスプリングに平均して荷重がかかるように連結し、ヘタリや変形を防ぎます。適度な弾力性と耐久性を備えています。
UV塗装とは,高級な家具やピアノの鏡面塗装に採用されており、塗膜が硬いので、強度があります。キズがつきにくく、お手入れも簡単です。
アリ組みとは,木材の接合部に凹凸をつけて互いに組み合わせる優れた工法。<br>量産の工場では出来ない、職人の手で 1個1個、引出しを合わせながら作り上げていきます。昔から、高級家具・婚礼たんす等に用いられ、引出しなどに最適な、頑丈な構造。
ウェービングベルトとは,糸に巻いた細いゴムを編んだものを、交互に貼り付けることで、ベルトがスプリングの役割を果たし、柔らかな座り心地を生み出します。耐久性に優れ、衝撃吸収材の中では最も多く使われています。
う造りとは,木材の表面をブラスト処理し、木目に凹凸をつけ、年輪を浮かび上がらせる仕上げ方法。表面の木目を浮き立たせる（早材部と晩材部の凹凸）ことにより、表面が固くなり傷がつきにくく、磨耗が少なくなる特徴があります。「木目の美しさ」と「掘りの深さ」が際立ち、光の陰影が醸し出す天然木の風合いをお楽しみいただけます。
エナメル塗装とは,仕上げまでに、何回も下塗り塗装や磨きを繰り返して仕上げます。大変手間のかかる塗装法です。表面がツルツルしていて、水に強い塗膜ですので、湿気、熱、、キズ、汚れに強く、お手入れが簡単。特有の美しい光沢があり清潔感が漂います。ピアノの鏡面仕上げもこの塗装仕上げとなります。
カマホゾ組みとは,下への荷重強度が強く、家づくりに用いられる昔ながらの組み立て方法です。手間がかかるうえ、精度を要求される事から、現在この組み方を用いる家具は大変少なくなっております。
サイレントレールとは,引き出しを勢いよく閉めたても、最後の数センチが閉まりきる前にゆっくりと閉まります。<br>小さなお子さまが指を挟まないようにや、引き出しを閉めた時のショックで中の食器などが割れたり、せっかく並べたナイフやフォークがバラバラになるのを防ぐ目的も兼ねております。<br>高級システムキッチンなどに良く使われるものです。
バージンウレタンとは,座面に高密度35%のヴァージンウレタン（virgin urethane）を使用。ヴァージンウレタンは、キメ細かい良質なウレタン部分のみ切り出して作られたクッション材で、再生ウレタンに比べて硬さにムラがなく耐久性に優れています。適度な沈み込みと弾力性のバランスがとれた硬さを実現。心地よさを追求した素材です。
ハイグロスとは,着色シートと透明シートを合わせた2層シートを基材（主にMDF）に貼り付けます。 強い光沢が美しく、汚れや傷に強く、耐水性もあり、お手入れが簡単です。ちょっとした汚れなら簡単に拭き取ることができます。
ピロートップとは,マットレスの表面に縫い付けられたパッドです。横になった時にコイルの硬さを感じることなく体を優しく包み込みます。<br>高級ホテルのベッド等で良く使われています。
ポケットコイルとは,圧縮したコイルスプリングを一つ一つ独立した袋に入れています。コイルが独立しているので、横揺れが少ないです。圧力をかけた部分だけ沈むので体の凹凸に合わせて沈み体圧分散に優れるというメリットもあります。
ボンネルコイルとは,らせん状に巻いたスプリングを全体に配置し、それぞれのスプリングを連結しております。一般的に安価なマットレスはこのタイプが多いです。同じ仕様のポケットコイルスプリングマットレスに比べると商品自体の重量は非常に軽く仕上がっています。
ラテックスとは,「ラテックス」とは、ゴムの木から採取される貴重な天然100％の樹液のことです。 その天然100％のゴム樹液を使用し、これを型に入れ高温の水蒸気で発泡させて成形したマットのことを「ラテックスマット」といいます。
鋸目（のこめ）加工とは,板の表面に帯鋸で荒挽きした時のようなノコ目跡を残した加工方法です。使い古したようなアンティーク感を表現できます。
箱組とは,箱状の引出しを作り、そこに前板を付けた構造。（前板の内側に、もう一枚板があるような状態です）安価な家具は、引出しの側板に直接「前板」をつけたものが多い。それに比べ、箱組した引き出しは、がたつきにくく非常に強度があります。
3Dシートとは,強化紙に立体的な印刷を施したものとなります。材質は紙ですが、より木の質感に近づける技術です。
COWとは,COW（カウ）とは、生後約２年経過したメス牛革の事柔らかく厚い革が特徴でとても丈夫です。
EBコート紙とは,EBコートとは「Electron Beamコート紙」の略です。油性マジックなどの汚れも乾拭きで拭き取れます。また、POPやシールを貼っても剥がしやすく、家具や什器などに使われています。
EPUとは,従来の合成皮革よりも耐久性に優れ傷がつきにくく、本革よりもメンテンナンスが簡単に行えます。 本革ソファーの“上質な風合い”と、合皮ソファーの“手軽さ”のいいとこどりをした素材が新素材のポリウレタン（EPU）です。
LATEX/FEATHERとは,"LATEXは通常のウレタンと比べ、高反発・体圧分散・自然抗菌・通気性・耐久性に優れた素材です。<br>また、天然LATEXは、ハウスダスト、ダニ、バクテリア等の細菌類、害虫が棲息できない条件を作ります。<br><br><b><font color=""#ff0000"">※原料がゴムですので、ゴムアレルギーをお持ちの方はご使用をお控えください。</font></b>"
MDFとは,Medium Density Fibreboardの略で「中質繊維板」と言います。 木の繊維を熱圧にて圧縮したもので環境に優しい材です。 軽く強度があり表面・木口面ともに緻密で加工性に優れています。
ＰＵとは,PU＝ソフトレザー<br>「Polyurethane （ポリウレタン）」の略。PVCより柔らかく肌触りがよい。撥水性があるので水拭きが容易（水拭きのあとは必ず乾拭きが必要）織物（ファブリック）に比べて汚れをふき取りやすい。生地の上にウレタン皮膜を塗布した構成のため、非常に柔らかい感触がだせる
PVC＆ファブリックとは,「Polyvinyl chloride （ポリビニールクロライド）」の略。合成皮革に分類されます。耐久性があり、加工性が高く、発色がよい。また、撥水性が高く、汚れをふき取りやすい。機能性（通気性や汚れ防止、抗菌など）をもたせた高付加価値商品もある。 <br><br>
PVCシートとは,水や汚れがついてもサッと拭き取れる、塩ビ系の素材です。
PVCとは,「Polyvinyl chloride （ポリビニールクロライド）」の略。合成皮革に分類されます。耐久性があり、発色・撥水性が高く、汚れをふき取りやすいのが特徴です。
SPUとは,SPUレザーとは、合皮ながら本革に近い質感と柔らかさがあり、 肌触りが良いPU（ソフトレザー）よりもさらにワンランク上の、 上質で滑らかな極上の柔らかさとしなやかさを兼ね備えた素材です。
SSPUレザーとは,スーパーソフトポリウレタンレザーの略。一般的に使用されるPVCよりサラサラとした柔らかい肌触りと質感で吸湿＆通気性に優れた高級ポリウレタンレザー。
アカシア材とは,茶色に白色の濃淡が特徴の高級感あふれる木材です。深みのある色合いが非常に美しく、今人気の素材。またシロアリに強く、腐りにくいという特徴もございます。
アッシュ材とは,ハッキリとした美しい木目と、耐衝撃性と耐久性に優れており、家具に使用すると頑丈で変形しにくい特徴があります。経年変化が少なく、長年使い続けても雰囲気が変わりにくいのも特徴です。
アルダー材とは,アルダー材とは、カバノキ科の広葉樹です。主張しすぎない、きれいな木目の為、どんなテイストにもマッチします。 加工性に優れているので家具などに多く使われています。
ウォールナット材とは,クルミ科の落葉広葉樹で北米に産する。我が国の鬼胡桃（オニグルミ）がこれにあたります。辺材は灰褐色、心材は紫褐色ないしチョコレート色を呈しています。材質は強靭で狂いが少なく、高級家具材として用いる他、銃床材としても重用されています。
オーク材とは,ブナ科の落葉樹で、ナラ、カシ、カシワなどの広葉樹をさします。 ナラは木目がはっきりしているのが特徴で、建材や家具などに多く使われています。
ケバンス材とは,アオギリ科の落葉性広葉樹。凄く硬く、加工屋泣かせの木材である一方で、木目が小さく非常に繊細な表情が特徴的でキズがつき難い事から、書棚や婚礼家具など長く使われる家具に使用されることが多いです。
セミアニリンとは,セミアニリン仕上げ(英:Semi-Aniline finish)とは、表面に顔料を薄く吹き付け、アニリンと呼ばれる染料を用いて染色する仕上げ方。 顔料を使うことで、表面のキズやシワを隠すこと(化粧)ができる。 アニリン仕上げの革と比べると自然な 風合い は落ちるが、高級感の演出ができるのが特徴。 
セラミックとは,陶磁器（窯業製品）製の素材の総称。キズや摩耗、熱に強く、汚れや水滴が染み込まない特徴があり、その耐久性と高級感のある見た目の美しさからキッチン、ダイニング家具の天板として好まれる素材です。<br>※天板上での刃物作業や、熱い鍋など置くことを推奨するものではございません。
ソフトPVCとは,合成皮革の中でもＡランク。ソフトでしっとりした質感で、リッチな風合いです。この高級感は、天然皮革以上とも言われます。さらに、水、カビ、汚れに強く、イージーケアで高い耐久性を誇る高級素材。
タモ材とは,しなやかで強度が高く、地震などの揺れにも強いため、建築材としても使用される木材。美しい木目があり、木目が直線的で曲がりが少ないため、加工がしやすく、狂いが少ない均一な木材として優れています。
ドリフトウッドとは,ドリフトウッドとは直訳すると流木と言う意味です。<br>勿論、実際の流木を使った物ではなく「流木風」です。<br>元の木材は非常に硬く重量感のあるラバーウッドになります。
パイン材とは,パイン材とは、床材や壁材などの内装材として人気のあるマツ科の針葉樹。カントリー家具などに使われることが多い木材です。
ビーチ材とは,木目はきめ細やかで白くなめらかで、柾目では細かな斑点が特徴です。強度が高く弾力性もあり、曲線が美しい曲げ木としても有名です。
ピュアフォルテとは,非常に光沢があり、キズに強い素材となります。
ファブリックとは,ファブリックとは一般的に布の事をさします。
ホワイトアッシュ材とは,モクセイ科トネリコ属の広葉樹。<br>木は適度に硬く加工がしやすい。北米全域に生育しており木肌が白く木目がとても美しい木材です。
メラミン化粧板とは,樹脂を浸透させた紙を何層も重ね合わせた薄い板のことです。家具など住宅建築などで活躍する素材で、表面硬度が高く、光沢があり傷がつきにくい特性があります。
ラバーウッドとは,名前の通り「ゴムの木」の事です。目が細かくまた変形しにくい木材として住宅用の階段、手摺りなど強度が求められる場所に広く使われています。比較的硬い木で成長が早いため木目が鮮やかです。
レザーファブリック（ファブリックレザー）とは,見た目は合皮レザーのようにも見えますが、家具用素材の分類的には「ファブリック」となります。<br>テックレザーとも呼ばれ、ファブリック（布）にPVCコーティングを施した新素材で、非常にやわらかく肌触りが良いのが特徴です。
象嵌（ぞうがん）とは,象嵌とは、象形文字の象＝かたどる、嵌＝はめこむ の意味をあらわしており、模様を象り嵌め込んだ工芸品と云えます。広く解釈すれば木に溝を彫り、色違いの木埋め込んで模様を入れたものです。
北欧パイン材とは,パイン材は柔らかな肌触りと優しい木目が特徴です。 <br>特に北欧パインは、厳しい寒さの中で育った良質の材料で、<br>等間隔に並ぶ節と明るくナチュラルな色味が魅力です。<br>使い込むほどに深い色味に変化し、経年経過の味わいを楽しめます。<br>カントリー家具の代表格です。
欅（ケヤキ）とは,木目が美しく、磨くと著しい光沢を生じる。堅くて摩耗に強いので、家具・建具等の指物に使われる。日本家屋の建築用材としても古くから多用され、神社仏閣などにも用いられます。
エアレザーとは,柔らかくしっとりとした肌触りで、一般的な合成皮革と比べて摩擦や摩耗などに対して強度に優れ、表面の剥がれにも強いのが特徴の素材です。
ウレタン塗装とは,密着性や弾性、光沢感や汚れに強いなどの特徴を持ち、家具や建物の塗装にも適した塗装です。
桐材とは,ゴマノハグサ科の落葉高木で、湿度が高くなると膨張して気密性が高まり、乾燥時には木が収縮して蒸れないように通気性を良くする特徴があります。呼吸しているかのように乾湿調整を行い、快適な状態に保つ働きをしてくれます。
強化紙シートとは,木目をプリントした薄い紙に加工を施して強度を高めたもの。 組み立て家具などに多く使われており、突板に近い手触りや、色、質感をよく表現したものです。
プリント紙化粧繊維板とは,木材や植物の繊維を高温・高圧を加えて板状にした繊維板に木目や柄を印刷した紙を貼り付けたもの。同じ色や木目・柄を生産できるため、同じシリーズの家具で揃えるとインテリアに統一感を出すことができます。
突板とは,突板とは、天然木を薄くスライスした板のことで、木目や質感を生かした内装材や家具などの表面材として使われます。
桑とは,桑材は、熱伝導性や柔軟性、耐久性、色合いなど、家具として優れた性質を持っています。また、日本の銘木の中でも最高級の扱いを受けることもあり、桑材を使った家具は、高級感や品質を求める方におすすめです。
福岡県大川市とは,家具の産地で有名な福岡県大川市。福岡県の南部を位置する家具生産量日本一を誇る家具の街です。安価な輸入品と異なり一本一本丁寧に家具職人の手によって仕上げられています。
浮造りとは,木目の美しさ際立たせた日本古来の加工法。木目による陰影が強調されるので、木の表情が豊かになり、木目の凹凸を触って確かめられます。
LVLすのことは,厚さ1〜2mm程度に薄くスライスした木材を複数枚貼り合わせて加工した積層板です。この加工により、均一な強度を持つ特性が生まれ、一般的なスノコよりも高品質な製品として評価されています。
メラミンポストフォームとは,メラミン樹脂を高圧で圧縮して作られた素材。硬度が高く、耐水性・耐熱性・耐薬品性に優れているため、傷や汚れに強く、日常的な使用に最適です。
含浸紙とは,紙の特性と樹脂の特性を組み合わせた複合材料。家具や建具の表面材として、シックで上品な雰囲気を演出。耐久性にも優れており、傷や汚れに強く、お手入れも簡単です。
ヘティヒ製イノテックレールとは,スムーズで静かな開閉を実現する、高品質な引き出しレール。高い剛性と安定性を備え、重いものを収納する引き出しにも安心して使用できます。あらゆる場所で快適な使い心地を提供します。
内部ラッピング加工とは,普段は見えない家具の内部にも、丁寧に化粧シートを貼り付け。美観を向上させるだけでなく、傷や汚れから部材を守り、お手入れも簡単になります。
キルティング加工とは,生地と生地の間に中綿を挟み、縫い合わせる加工のことです。高い保温性、クッション性を持たせます。
